            perf 51595 [024] 2604252.216399:        206 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 51595 [024] 2604252.216406:      12676 cpu/event=0x3C,umask=0x00/u:            416104 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216429:        235 cpu/event=0xC0,umask=0x00/u:            469cb4 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216485:        311 cpu/event=0xD0,umask=0x81/u:            469cfd perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216488:          6 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 84762 [028] 2604252.216500:          1 cpu/event=0xC5,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216502:          1 cpu/event=0xC5,umask=0x00/u:            41690f cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216505:          6 cpu/event=0xD0,umask=0x82/u:      7f8df2cecb90 _int_malloc (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216508:         10 cpu/event=0xD0,umask=0x82/u:      7f8df2cecbe3 _int_malloc (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216511:        226 cpu/event=0xC0,umask=0x00/u:      7f8df2cecebd _int_malloc (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216514:         53 cpu/event=0xD0,umask=0x82/u:            467510 perf_event__synthesize_comm (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216515:          6 cpu/event=0xC5,umask=0x00/u:            467510 perf_event__synthesize_comm (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216517:        163 cpu/event=0xD0,umask=0x82/u:      7f8df2ce7ff3 _IO_str_init_static_internal (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216520:        233 cpu/event=0xC0,umask=0x00/u:      7f8df2ce6511 _IO_setb (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216523:        518 cpu/event=0xC0,umask=0x00/u:      7f8df2cb8ba0 vfprintf (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216526:         12 cpu/event=0xC5,umask=0x00/u:      7f8df2ce66f6 _IO_default_xsputn (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216554:       2611 cpu/event=0xC0,umask=0x00/u:      7f8df2d151af __strstr_sse2_unaligned (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216558:        286 cpu/event=0xD0,umask=0x81/u:            46717f perf_event__get_comm_ids.constprop.3 (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216561:         24 cpu/event=0xC5,umask=0x00/u:      7f8df2cf4b76 __strchr_sse2 (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216564:        712 cpu/event=0xD0,umask=0x82/u:      7f8df2ca6668 __GI_____strtoll_l_internal (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84762 [028] 2604252.216567:      13040 cpu/event=0x3C,umask=0x00/u:      7f8df49e3497 __GI___libc_write (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84762 [028] 2604252.216584:         30 cpu/event=0xC5,umask=0x00/u:            41696e cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216604:          1 cpu/event=0x3C,umask=0x00/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84762 [028] 2604252.216611:        300 cpu/event=0xD0,umask=0x81/u:            4160f4 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216612:          1 cpu/event=0xD0,umask=0x81/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216614:          1 cpu/event=0x3C,umask=0x00/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216615:          1 cpu/event=0xC0,umask=0x00/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84762 [028] 2604252.216617:      11974 cpu/event=0x3C,umask=0x00/u:            416104 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216620:          1 cpu/event=0xD0,umask=0x81/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216621:          3 cpu/event=0x3C,umask=0x00/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216626:          3 cpu/event=0xD0,umask=0x81/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216627:          8 cpu/event=0x3C,umask=0x00/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216628:          1 cpu/event=0xC0,umask=0x00/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216633:          9 cpu/event=0xD0,umask=0x81/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216634:         24 cpu/event=0x3C,umask=0x00/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216639:         64 cpu/event=0x3C,umask=0x00/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216640:          2 cpu/event=0xC0,umask=0x00/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216645:        218 cpu/event=0x3C,umask=0x00/u:      7f8df49e3500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84762 [028] 2604252.216645:      13447 cpu/event=0x3C,umask=0x00/u:  ffffffff8186d5d0 page_fault ([kernel.kallsyms])
            perf 84763 [014] 2604252.216650:        643 cpu/event=0x3C,umask=0x00/u:      7f8df49e3508 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216651:          4 cpu/event=0xC0,umask=0x00/u:      7f8df49e3508 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216656:         24 cpu/event=0xD0,umask=0x81/u:      7f8df49e3508 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84763 [014] 2604252.216661:       2400 cpu/event=0x3C,umask=0x00/u:            46da78 perf_evlist__prepare_workload (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216662:          9 cpu/event=0xC0,umask=0x00/u:            46da78 perf_evlist__prepare_workload (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216668:          1 cpu/event=0xC5,umask=0x00/u:            46daab perf_evlist__prepare_workload (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216670:        333 cpu/event=0xD0,umask=0x81/u:            41610d cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216673:       4775 cpu/event=0x3C,umask=0x00/u:            46daab perf_evlist__prepare_workload (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216678:         18 cpu/event=0xC0,umask=0x00/u:            406e40 execvp@plt (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216684:          1 cpu/event=0xD0,umask=0x82/u:            406b36 _init (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216686:      17740 cpu/event=0x3C,umask=0x00/u:            4160f4 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216688:         35 cpu/event=0xD0,umask=0x81/u:      7f8df4c07e40 _dl_runtime_resolve_xsave (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84763 [014] 2604252.216694:          1 cpu/event=0xD0,umask=0x82/u:      7f8df4c07ebd _dl_runtime_resolve_xsave (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84763 [014] 2604252.216695:         30 cpu/event=0xC0,umask=0x00/u:      7f8df4c07ebd _dl_runtime_resolve_xsave (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84762 [028] 2604252.216697:       3337 cpu/event=0xC0,umask=0x00/u:            46b778 perf_evlist__mmap_consume (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216700:          2 cpu/event=0xD0,umask=0x82/u:      7f8df4bffa42 _dl_fixup (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84762 [028] 2604252.216700:        362 cpu/event=0xD0,umask=0x81/u:            4160f4 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216704:         49 cpu/event=0xC0,umask=0x00/u:      7f8df4bffa8b _dl_fixup (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84762 [028] 2604252.216705:         42 cpu/event=0xC5,umask=0x00/u:            416247 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216710:       9020 cpu/event=0x3C,umask=0x00/u:      7f8df4bffa8b _dl_fixup (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84762 [028] 2604252.216712:        469 cpu/event=0xD0,umask=0x81/u:            46b778 perf_evlist__mmap_consume (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216715:         44 cpu/event=0xD0,umask=0x81/u:      7f8df4bfaa20 _dl_lookup_symbol_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84763 [014] 2604252.216716:          6 cpu/event=0xD0,umask=0x82/u:      7f8df4bfaa20 _dl_lookup_symbol_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84763 [014] 2604252.216717:        108 cpu/event=0xC0,umask=0x00/u:      7f8df4bfaa20 _dl_lookup_symbol_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84762 [028] 2604252.216721:        929 cpu/event=0xD0,umask=0x81/u:            416104 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216722:          1 cpu/event=0xC5,umask=0x00/u:      7f8df4bfaa71 _dl_lookup_symbol_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84763 [014] 2604252.216727:         10 cpu/event=0xD0,umask=0x82/u:      7f8df4bf9ed1 do_lookup_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84763 [014] 2604252.216728:        204 cpu/event=0xC0,umask=0x00/u:      7f8df4bf9ed1 do_lookup_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84762 [028] 2604252.216730:       3213 cpu/event=0xC0,umask=0x00/u:            4c6d1f writen (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216733:         60 cpu/event=0xD0,umask=0x81/u:      7f8df4bf9fbf do_lookup_x (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84763 [014] 2604252.216738:         20 cpu/event=0xD0,umask=0x82/u:      7f8df4c0c5e0 strcmp (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84762 [028] 2604252.216739:      21003 cpu/event=0x3C,umask=0x00/u:            416104 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84762 [028] 2604252.216743:       2067 cpu/event=0xD0,umask=0x81/u:            4160b1 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84763 [014] 2604252.216743:          1 cpu/event=0xC5,umask=0x00/u:      7f8df4c0ceb5 strcmp (/lib/x86_64-linux-gnu/ld-2.23.so)
            perf 84763 [014] 2604252.216747:          2 cpu/event=0xC5,umask=0x00/u:      7f8df4c019f0 _dl_name_match_p (/lib/x86_64-linux-gnu/ld-2.23.so)
