            perf 84894 [002] 2604262.859254:        187 cpu/event=0xD0,umask=0x81/u:            469d02 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.859256:          7 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 84894 [002] 2604262.859295:        230 cpu/event=0xC0,umask=0x00/u:            469cfd perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.859367:          7 cpu/event=0xD0,umask=0x82/u:  ffffffff8186a950 entry_SYSCALL_64 ([kernel.kallsyms])
            perf 84894 [002] 2604262.859422:        230 cpu/event=0xC0,umask=0x00/u:            469cb4 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.859484:          5 cpu/event=0xC5,umask=0x00/u:            469d34 perf_evlist__enable (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.859486:          7 cpu/event=0xD0,umask=0x82/u:      7f7315981180 malloc (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859488:          7 cpu/event=0xD0,umask=0x82/u:      7f731597ec02 _int_malloc (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859489:        225 cpu/event=0xC0,umask=0x00/u:      7f731597ec02 _int_malloc (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859491:        173 cpu/event=0xD0,umask=0x81/u:      7f73159811da malloc (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859493:         49 cpu/event=0xD0,umask=0x82/u:            467410 perf_event__synthesize_comm (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.859495:          5 cpu/event=0xC5,umask=0x00/u:            46751c perf_event__synthesize_comm (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84894 [002] 2604262.859497:        181 cpu/event=0xD0,umask=0x82/u:      7f7315978be0 _IO_no_init (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859499:        240 cpu/event=0xC0,umask=0x00/u:      7f7315978510 _IO_setb (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859501:        506 cpu/event=0xC0,umask=0x00/u:      7f731594b79f vfprintf (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859503:         11 cpu/event=0xC5,umask=0x00/u:      7f731594b1c5 vfprintf (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859505:        162 cpu/event=0xD0,umask=0x81/u:      7f73159786a2 _IO_default_xsputn (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859526:       3371 cpu/event=0xC0,umask=0x00/u:      7f73159a71a0 __strstr_sse2_unaligned (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859528:         27 cpu/event=0xC5,umask=0x00/u:      7f73159a719a __strstr_sse2_unaligned (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859530:      21555 cpu/event=0x3C,umask=0x00/u:      7f73159887a0 strlen (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859532:        701 cpu/event=0xD0,umask=0x82/u:      7f7315938603 __GI_____strtoll_l_internal (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859534:        283 cpu/event=0xD0,umask=0x81/u:      7f7315938704 __GI_____strtoll_l_internal (/lib/x86_64-linux-gnu/libc-2.23.so)
            perf 84894 [002] 2604262.859547:         38 cpu/event=0xC5,umask=0x00/u:      7f7317675550 __GI___libc_close (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84894 [002] 2604262.859598:        369 cpu/event=0xD0,umask=0x81/u:            4160f4 cmd_record (/usr/lib/linux-tools-4.4.0-194/perf)
            perf 84895 [004] 2604262.859602:          1 cpu/event=0x3C,umask=0x00/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84894 [002] 2604262.859603:      19088 cpu/event=0x3C,umask=0x00/u:  ffffffff8186d5d0 page_fault ([kernel.kallsyms])
            perf 84895 [004] 2604262.859610:          1 cpu/event=0xD0,umask=0x81/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859611:          1 cpu/event=0x3C,umask=0x00/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859612:          1 cpu/event=0xC0,umask=0x00/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859617:          1 cpu/event=0xD0,umask=0x81/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
            perf 84895 [004] 2604262.859618:          3 cpu/event=0x3C,umask=0x00/u:      7f7317675500 __read_nocancel (/lib/x86_64-linux-gnu/libpthread-2.23.so)
